Security,Description,Category,Subcategory
GUKG1 Index,UK Gilts 1 Year,Index/Stats,Miscellaneous Indices
GUKG10 Index,UK Gilts 10 Yr,Index/Stats,Miscellaneous Indices
GUKG15 Index,UK Gilts 15 Year,Index/Stats,Miscellaneous Indices
GUKG2 Index,UK Gilts 2 Year,Index/Stats,Miscellaneous Indices
GUKG20 Index,UK Gilts 20 Year,Index/Stats,Miscellaneous Indices
GUKG3 Index,UK Gilts 3 Year,Index/Stats,Miscellaneous Indices
GUKG30 Index,UK Gilts 30 Year,Index/Stats,Miscellaneous Indices
GUKG4 Index,UK Gilts 4 Year,Index/Stats,Miscellaneous Indices
GUKG5 Index,UK Gilts 5 Year,Index/Stats,Miscellaneous Indices
GUKG6 Index,UK Gilts 6 Year,Index/Stats,Miscellaneous Indices
GUKG7 Index,UK Gilts 7 Year,Index/Stats,Miscellaneous Indices
GUKGIN10 Index,UK Gilts Infl 10Y,Index/Stats,Miscellaneous Indices
GUKGIN20 Index,UK Gilts Infl 20Y,Index/Stats,Miscellaneous Indices
GUKGIN02 Index,UK Gilts Infl 2Y,Index/Stats,Miscellaneous Indices
GUKGIN30 Index,UK Gilts Infl 30Y,Index/Stats,Miscellaneous Indices
GUKGIN03 Index,UK Gilts Infl 3Y,Index/Stats,Miscellaneous Indices
GUKGIN05 Index,UK Gilts Infl 5Y,Index/Stats,Miscellaneous Indices
