,Security,Description,Category,Subcategory
,FXHCUSCF Index,Bloomberg USDCHF 3 Month Hedging Cost,Index/Stats,Statistics
,FXHCUE1M Index,Bloomberg USDEUR 1 Month Hedging Cost,Index/Stats,Statistics
,FXHCUE12 Index,Bloomberg USDEUR 12 Month Hedging Cost,Index/Stats,Statistics
,FXHCUSEU Index,Bloomberg USDEUR 3 Month Hedging Cost,Index/Stats,Statistics
,FXHCUE6M Index,Bloomberg USDEUR 6 Month Hedging Cost,Index/Stats,Statistics
,FXHCUSIL Index,Bloomberg USDILS 3 Month Hedging Cost,Index/Stats,Statistics
,FXHCUJ1M Index,Bloomberg USDJPY 1 Month Hedging Cost,Index/Stats,Statistics
,FXHCUJ12 Index,Bloomberg USDJPY 12 Month Hedging Cost,Index/Stats,Statistics
,FXHCUJ18 Index,Bloomberg USDJPY 18 Month Hedging Cost,Index/Stats,Statistics
,FXHCUJ2Y Index,Bloomberg USDJPY 2 Year Hedging Cost,Index/Stats,Statistics
,FXHCUSJP Index,Bloomberg USDJPY 3 Month Hedging Cost,Index/Stats,Statistics
,FXHCUJ3Y Index,Bloomberg USDJPY 3 Year Hedging Cost,Index/Stats,Statistics
,FXHCUJ6M Index,Bloomberg USDJPY 6 Month Hedging Cost,Index/Stats,Statistics
,FXHCUSKW Index,Bloomberg USDKRW 3 Month Hedging Cost,Index/Stats,Statistics
,FXHCUSRU Index,Bloomberg USDRUB 3 Month Hedging Cost,Index/Stats,Statistics
,FXHCUSTR Index,Bloomberg USDTRY 3 Month Hedging Cost,Index/Stats,Statistics
