,Security,Description,Category,Subcategory
,USGG10YR Index,US Generic Govt 10 Yr,Index/Stats,Miscellaneous Indices
,USGG2YR Index,US Generic Govt 2 Yr,Index/Stats,Miscellaneous Indices
,USGG30YR Index,US Generic Govt 30 Yr,Index/Stats,Miscellaneous Indices
,USGG5YR Index,US Generic Govt 5 Yr,Index/Stats,Miscellaneous Indices
,USGGT10Y Index,US Generic Govt TII 10 Yr,Index/Stats,Miscellaneous Indices
,USGG20YR Index,US Generic Govt 20 Yr,Index/Stats,Miscellaneous Indices
,USGG3YR Index,US Generic Govt 3 Yr,Index/Stats,Miscellaneous Indices
,USGG7YR Index,US Generic Govt 7 Yr,Index/Stats,Miscellaneous Indices
,USGG3M Index,US Generic Govt 3 Mth,Index/Stats,Miscellaneous Indices
,USGG12M Index,US Generic Govt 12 Mth,Index/Stats,Miscellaneous Indices
,USGGT30Y Index,US Generic Govt TII 30 Yr,Index/Stats,Miscellaneous Indices
,USGGT05Y Index,US Generic Govt TII 5 Yr,Index/Stats,Miscellaneous Indices
,USGGT02Y Index,US Generic Govt TII 2 Year,Index/Stats,Miscellaneous Indices
,USGG6M Index,US Generic Govt 6 Mth,Index/Stats,Miscellaneous Indices
,USGG1M Index,US Generic Govt 1 Mth,Index/Stats,Miscellaneous Indices
,USGGT20Y Index,US Generic Govt TII 20 Yr,Index/Stats,Miscellaneous Indices
,USGGF02Y Index,US Generic Govt F02Y,Index/Stats,Miscellaneous Indices
