,Security,Description,Category,Subcategory
,HOLDCH Index,US Treasury Securities Foreign Holders China,Index/Stats,Economics
,HOLDJN Index,US Treasury Securities Foreign Holders Japan,Index/Stats,Economics
,HOLDUK Index,US Treasury Securities Foreign Holders UK,Index/Stats,Economics
,HOLDBE Index,US Treasury Securities Foreign Holders Belgium,Index/Stats,Economics
,HOLDTW Index,US Treasury Securities Foreign Holders Taiwan,Index/Stats,Economics
,HOLDSW Index,US Treasury Securities Foreign Holders Switzerland,Index/Stats,Economics
,HOLDCA Index,US Treasury Securities Foreign Holders Canada,Index/Stats,Economics
,HOLDTFO Index,US Treasury Securities Foreign Holders Foreign Official,Index/Stats,Economics
,HOLDLU Index,US Treasury Securities Foreign Holders Luxembourg,Index/Stats,Economics
,HOLDSAUD Index,US Treasury Securities Foreign Holders Saudi Arabia,Index/Stats,Economics
,HOLDRU Index,US Treasury Securities Foreign Holders Russia,Index/Stats,Economics
,HOLDINDA Index,US Treasury Securities Foreign Holders India,Index/Stats,Economics
,HOLDBOND Index,US Treasury Securities Foreign Holders Foreign Official Bonds,Index/Stats,Economics
,HOLDIR Index,US Treasury Securities Foreign Holders Ireland,Index/Stats,Economics
,HOLDCAYM Index,US Treasury Securities Foreign Holders Cayman Islands,Index/Stats,Economics
,HOLDGE Index,US Treasury Securities Foreign Holders Germany,Index/Stats,Economics
,HOLDAU Index,US Treasury Securities Foreign Holders Australia,Index/Stats,Economics
,HOLDKO Index,US Treasury Securities Foreign Holders Korea,Index/Stats,Economics
,HOLDBR Index,US Treasury Securities Foreign Holders Brazil,Index/Stats,Economics
,HOLDFR Index,US Treasury Securities Foreign Holders France,Index/Stats,Economics
,HOLDNE Index,US Treasury Securities Foreign Holders Netherlands,Index/Stats,Economics
,HOLDHK Index,US Treasury Securities Foreign Holders Hong Kong,Index/Stats,Economics
,HOLDTU Index,US Treasury Securities Foreign Holders Turkey,Index/Stats,Economics
,HOLDBILL Index,US Treasury Securities Foreign Holders Foreign Official Bills,Index/Stats,Economics
,HOLDME Index,US Treasury Securities Foreign Holders Mexico,Index/Stats,Economics
,HOLDSI Index,US Treasury Securities Foreign Holders Singapore,Index/Stats,Economics
,HOLDURGY Index,US Treasury Securities Foreign Holders Uruguay,Index/Stats,Economics
,HOLDTH Index,US Treasury Securities Foreign Holders Thailand,Index/Stats,Economics
,HOLDVITM Index,US Treasury Securities Foreign Holders Vietnam,Index/Stats,Economics
,HOLDBAHA Index,US Treasury Securities Foreign Holders Bahamas,Index/Stats,Economics
,HOLDIT Index,US Treasury Securities Foreign Holders Italy,Index/Stats,Economics
,HOLDINTL Index,US Treasury Securities Foreign Holders International & Regional Organizations,Index/Stats,Economics
,HOLDJAMA Index,US Treasury Securities Foreign Holders Jamaica,Index/Stats,Economics
,HOLDSP Index,US Treasury Securities Foreign Holders Spain,Index/Stats,Economics
,HOLDCO Index,US Treasury Securities Foreign Holders Colombia,Index/Stats,Economics
,HOLDKZSN Index,US Treasury Securities Foreign Holders Kazakhstan,Index/Stats,Economics
,HOLDNEW Index,US Treasury Securities Foreign Holders New Zealand,Index/Stats,Economics
,HOLDNO Index,US Treasury Securities Foreign Holders Norway,Index/Stats,Economics
,HOLDBERM Index,US Treasury Securities Foreign Holders Bermuda,Index/Stats,Economics
,HOLDBRIT Index,US Treasury Securities Foreign Holders British Virgin Islands,Index/Stats,Economics
,HOLDGUAT Index,US Treasury Securities Foreign Holders Guatemala,Index/Stats,Economics
,HOLDPO Index,US Treasury Securities Foreign Holders Poland,Index/Stats,Economics
,HOLDSE Index,US Treasury Securities Foreign Holders Sweden,Index/Stats,Economics
,HOLDUNIT Index,US Treasury Securities Foreign Holders United Arab Emirates,Index/Stats,Economics
,HOLDALGE Index,US Treasury Securities Foreign Holders Algeria,Index/Stats,Economics
,HOLDARGN Index,US Treasury Securities Foreign Holders Argentina,Index/Stats,Economics
,HOLDARUB Index,US Treasury Securities Foreign Holders Aruba,Index/Stats,Economics
,HOLDAUST Index,US Treasury Securities Foreign Holders Austria,Index/Stats,Economics
,HOLDBAHR Index,US Treasury Securities Foreign Holders Bahrain,Index/Stats,Economics
,HOLDBARB Index,US Treasury Securities Foreign Holders Barbados,Index/Stats,Economics
,HOLDBELI Index,US Treasury Securities Foreign Holders Belize,Index/Stats,Economics
,HOLDBOLI Index,US Treasury Securities Foreign Holders Bolivia,Index/Stats,Economics
,HOLDCARI Index,US Treasury Securities Foreign Holders Caribbean Banking Centers,Index/Stats,Economics
,HOLDCL Index,US Treasury Securities Foreign Holders Chile,Index/Stats,Economics
,HOLDCOST Index,US Treasury Securities Foreign Holders Costa Rica,Index/Stats,Economics
,HOLDCYPR Index,US Treasury Securities Foreign Holders Cyprus,Index/Stats,Economics
,HOLDCZEC Index,US Treasury Securities Foreign Holders Czech Republic,Index/Stats,Economics
,HOLDDK Index,US Treasury Securities Foreign Holders Denmark,Index/Stats,Economics
,HOLDDOMI Index,US Treasury Securities Foreign Holders Dominican Republic,Index/Stats,Economics
,HOLDECUA Index,US Treasury Securities Foreign Holders Ecuador,Index/Stats,Economics
,HOLDEG Index,US Treasury Securities Foreign Holders Egypt,Index/Stats,Economics
,HOLDELSA Index,US Treasury Securities Foreign Holders El Salvador,Index/Stats,Economics
,HOLDFINL Index,US Treasury Securities Foreign Holders Finland,Index/Stats,Economics
,HOLDGABO Index,US Treasury Securities Foreign Holders Gabon,Index/Stats,Economics
,HOLDGREE Index,US Treasury Securities Foreign Holders Greece,Index/Stats,Economics
,HOLDHAIT Index,US Treasury Securities Foreign Holders Haiti,Index/Stats,Economics
,HOLDHOND Index,US Treasury Securities Foreign Holders Honduras,Index/Stats,Economics
,HOLDHUNG Index,US Treasury Securities Foreign Holders Hungary,Index/Stats,Economics
,HOLDINDO Index,US Treasury Securities Foreign Holders Indonesia,Index/Stats,Economics
,HOLDIRAN Index,US Treasury Securities Foreign Holders Iran,Index/Stats,Economics
,HOLDIRAQ Index,US Treasury Securities Foreign Holders Iraq,Index/Stats,Economics
,HOLDIS Index,US Treasury Securities Foreign Holders Israel,Index/Stats,Economics
,HOLDKENY Index,US Treasury Securities Foreign Holders Kenya,Index/Stats,Economics
,HOLDKUWA Index,US Treasury Securities Foreign Holders Kuwait,Index/Stats,Economics
,HOLDLIBE Index,US Treasury Securities Foreign Holders Liberia,Index/Stats,Economics
,HOLDLIBY Index,US Treasury Securities Foreign Holders Libya,Index/Stats,Economics
,HOLDMONA Index,US Treasury Securities Foreign Holders Monaco,Index/Stats,Economics
,HOLDMORO Index,US Treasury Securities Foreign Holders Morocco,Index/Stats,Economics
,HOLDMY Index,US Treasury Securities Foreign Holders Malaysia,Index/Stats,Economics
,HOLDNETH Index,US Treasury Securities Foreign Holders Netherlands Antilles,Index/Stats,Economics
,HOLDNIGE Index,US Treasury Securities Foreign Holders Nigeria,Index/Stats,Economics
,HOLDOMAN Index,US Treasury Securities Foreign Holders Oman,Index/Stats,Economics
,HOLDOPEC Index,US Treasury Securities Foreign Holders OPEC,Index/Stats,Economics
,HOLDOT Index,US Treasury Securities Foreign Holders All Other,Index/Stats,Economics
,HOLDPAKI Index,US Treasury Securities Foreign Holders Pakistan,Index/Stats,Economics
,HOLDPANA Index,US Treasury Securities Foreign Holders Panama,Index/Stats,Economics
,HOLDPARA Index,US Treasury Securities Foreign Holders Paraguay,Index/Stats,Economics
,HOLDPE Index,US Treasury Securities Foreign Holders Peru,Index/Stats,Economics
,HOLDPH Index,US Treasury Securities Foreign Holders Philippnes,Index/Stats,Economics
,HOLDPORT Index,US Treasury Securities Foreign Holders Portugal,Index/Stats,Economics
,HOLDQATA Index,US Treasury Securities Foreign Holders Qatar,Index/Stats,Economics
,HOLDROMA Index,US Treasury Securities Foreign Holders Romania,Index/Stats,Economics
,HOLDSA Index,US Treasury Securities Foreign Holders South Africa,Index/Stats,Economics
,HOLDTRIN Index,US Treasury Securities Foreign Holders Trinidad and Tobago,Index/Stats,Economics
,HOLDUKRA Index,US Treasury Securities Foreign Holders Ukraine,Index/Stats,Economics
,HOLDVENE Index,US Treasury Securities Foreign Holders Venezuela,Index/Stats,Economics
